id,section_id,position,visible,available,name,description,category,option_1_label,option_1_display_label,option_1_price,option_2_label,option_2_display_label,option_2_price,option_3_label,option_3_display_label,option_3_price,show_detail_hint,visual_mode,visual_label,visual_script,visual_gradient_start,visual_gradient_mid,visual_gradient_end,visual_label_color,visual_script_color
gin-tonic-special,drink,8,si,si,Gin Tropical,"Mix esotico di sapori, mango maturato al sole, lime fresco per un gusto vibrante agrumato dei tropici.",Limited Edition,1 drink,,6,,,,,,,no,inherit,,,,,,,
oltrepo,bottiglie,0,si,si,Oltrepò Pavese,"Bonarda, Casapaia, Chardonnay, Pinot Grigio.",Vino,Bottiglia,,12,Calice,,4,,,,si,inherit,,,,,,,
rosso-del-lupo,bottiglie,1,si,si,Rosso del Lupo,"Valcalepio rosso fermo DOC, BIO.",Vino,Bottiglia,,26,,,,,,,si,inherit,,,,,,,
pinot-extra-dry,bottiglie,2,si,si,"Pinot, spumante extra dry","Metodo Charmat-Martinotti, Brega, Oltrepò Pavese.",Bollicine,Bottiglia,,16,Calice,,"4,5",,,,si,inherit,,,,,,,
quarantalune,bottiglie,3,si,si,Quarantalune,"Brut metodo classico, 40 mesi sui lieviti, millesimato, Lombardia.",Bollicine,Bottiglia,,35,,,,,,,si,inherit,,,,,,,
glera-zero,bottiglie,4,si,si,Spumante dealcolato,"Uve Glera, spumante dry, Borgo Molino, 75 cl.",Selezione Zero,Bottiglia,,18,,,,,,,si,inherit,,,,,,,
rose-n5,bottiglie,5,si,si,Rosè n°5 Feral,"Rosè di piante ribelli, fermentazione ancestrale (0 alcol), bollicina elegante, dalle Dolomiti.",Limited Edition,Bottiglia,,25,,,,,,,si,inherit,,,,,,,
acqua,altre-bevande,0,si,si,Acqua,"Naturale o frizzante, bottiglia 50 cl.",Altre bevande,Naturale,,"1,5",Frizzante,,"1,5",,,,si,inherit,,,,,,,
bibite,altre-bevande,1,si,si,Bibite,"Coca-Cola, Coca Zero, Estathè Limone o Pesca. 33 cl.",Altre bevande,Coca-Cola,,4,Coca Zero,,4,Estathè Limone,,4,si,inherit,,,,,,,
frutta-bio,altre-bevande,2,si,si,Aranciata rossa,"Con succo di Arancia Rossa di Sicilia IGP: elegante, agrumata e succosa, con un equilibrio rotondo tra dolcezza e nota acidula. 27,5 cl.",Altre bevande,,,"4,5",,,,,,,si,inherit,,,,,,,
kombucha-classica,altre-bevande,3,si,si,Kombucha,"Tè fermentato frizzante analcolico artigianale, prodotto in Lombardia.",Artigianale,,,"4,5",,,,,,,si,inherit,,,,,,,
kombucha,altre-bevande,4,si,si,Kombucha limone,"Tè fermentato frizzante analcolico con succo di limone bio, prodotto in Lombardia.",Artigianale,,,"4,5",,,,,,,si,inherit,,,,,,,
caffe,altre-bevande,5,si,si,Caffè,"Normale, lungo, deca o macchiato. (1,50€/cad.)",Altre bevande,Normale,,"1,5",Lungo,,"1,5",Deca,,"1,5",si,inherit,,,,,,,
iced-coffee,altre-bevande,6,si,si,Iced Latte,"Caffè shakerato freddo con latte nostrano, cremoso e dissetante.",Altre bevande,,,4,,,,,,,si,inherit,,,,,,,
grappe-amari,altre-bevande,7,si,si,Grappe e amari,"Amari, grappe, distillati e liquori. Scopri il nuovo amaro alle erbe firmato Molino Santa Marta. (4€/cad.)",Altre bevande,Amaro del Capo,,4,Averna,,4,Brancamenta,,4,si,inherit,,,,,,,
metro-del-molino,taglieri,0,si,si,Metro del Molino,"Il tagliere da 1 m con sfiziosità del Molino, salumi, affettati e altre golosità da condividere.",Taglieri & sfiziosità,,,18,,,,,,,si,inherit,,,,,,,
mezzo-metro,taglieri,1,si,si,1/2 Metro,"1 etto di salame nostrano, pane fatto in casa e golosità artigianali del Molino.",Taglieri & sfiziosità,,,12,,,,,,,si,inherit,,,,,,,
milkshake,gelato,0,si,si,Agri-Milkshake KM0,"Super cremoso, fresco e avvolgente: fatto col nostro agri-gelato e latte fresco della cascina, disponibile in tutti i gusti nel carretto. Con solo 1€ in più puoi esagerare: tutti i topping che vuoi!",Novità,Milkshake,,4,,,,,,,no,inherit,,,,,,,
